Name,Query,Risk,tag,Notes
Unsigned process which is a child or a grandchild of wmiprvse.exe and is executed with system,process_publisher_state:FILE_SIGNATURE_STATE_NOT_SIGNED AND parent_name:wmiprvse.exe AND process_username:SYSTEM,5,lateral_movement,
Execution of unsigned child or grandchild by wmic.exe,parent_name:wmic.exe AND process_publisher_state:FILE_SIGNATURE_STATE_NOT_SIGNED,5,wmic_unsigned_child,
Pass the ticket,"process_cmdline:""kerberos::golden"" OR process_cmdline:""kerberos::ptt""",9,pass_the_ticket,
Pass the Hash (tool example),process_cmdline:SEKURLSA,9,pass_the_hash,
Obfuscate/Encode with Certutil,process_name:certutil.exe AND process_cmdline:\-encode*,7,certutil_obfuscation,
Mac - Locate Hidden Users,process_name:dscl AND process_cmdline:*create*,5,mac_hidden_users,
Credential Theft - Linux,process_name:cat AND process_cmdline:sudoers,6,linux_cred_theft,
Compiled HTML Code execution,process_cmdline:*.chm AND childproc_name:cmd.exe,6,html_code_execution,
Ransomware Extensions,((filemod_name:*.*CERBER*  OR filemod_name:*.*WASTED* OR filemod_name:*.0X0 OR filemod_name:*.0X009D8A OR filemod_name:*.0X5BM OR filemod_name:*.1999 OR filemod_name:*.1CBU1 OR filemod_name:*.1TXT OR filemod_name:*.342 OR filemod_name:*.3NCRY OR filemod_name:*.3P7M OR filemod_name:*.3RNU OR filemod_name:*.3V3R1S OR filemod_name:*.492 OR filemod_name:*.4RW5RW OR filemod_name:*.666 OR filemod_name:*.725 OR filemod_name:*.726 OR filemod_name:*.73I87A OR filemod_name:*.777 OR filemod_name:*.7H9R OR filemod_name:*.7ZIPPER OR filemod_name:*.8LOCK8 OR filemod_name:*._____ OR filemod_name:*.__DILMAV1 OR filemod_name:*._AIRACROPENCRYPTED OR filemod_name:*._RYP OR filemod_name:*.A5ZFN OR filemod_name:*.AAA OR filemod_name:*.ABC) AND -process_name:splunkd.exe),10,ransomware,
Nirsoft,(process_publisher:Nir\ Sofer),5,nirsoft,
Non-Microsoft Netconns,((process_name:winword.exe OR process_name:excel.exe OR process_name: powerpnt.exe) AND (netconn_domain:/[^.]+(\.[^.]+)+&@&~(.*live.com)/ AND netconn_domain:/[^.]+(\.[^.]+)+&@&~(.*office.net)/ AND netconn_domain:/[^.]+(\.[^.]+)+&@&~(.*microsoft.com)/ AND netconn_domain:/[^.]+(\.[^.]+)+&@&~(.*office.com)/)),6,office_unusual_netconns,
Hunt for binaries with dual extension 2,"process_name:/[^\/]+\\.[^\/]{2,3}\\.[^\/]{2,3}/",6,process_anomalies,
